Date,Campaign,Strategy,Placement,Creative,Region,Source,Impressions,Clicks,Conversions,Revenue,CTR (%),Spend,CPC,CPA,ROAS
2025-12-10,New Traffic Campaign,,,New Traffic Ad - Copy,facebook,1096,32,0,0.00,0.03,18.63,0.58,,
2025-12-10,Beleaf,,,New Traffic Video,facebook,5,0,0,0.00,0.00,0.08,,,
2025-12-09,Brooklyn Bowl,,,Brooklyn Bowl 1,facebook,34,2,0,0.00,0.06,0.58,0.29,,
2025-12-09,Beleaf,,,New Traffic Basic,facebook,363,9,0,0.00,0.02,6.17,0.69,,
2025-12-09,New Traffic Campaign,,,New Traffic Ad - Copy,facebook,108,5,0,0.00,0.05,1.84,0.37,,
2025-12-09,Beleaf,,,New Traffic Video,facebook,1,0,0,0.00,0.00,0.02,,,
2025-12-09,Brooklyn Bowl,,,Brooklyn Bowl 1,facebook,154,21,0,0.00,0.14,2.62,0.12,,
2025-12-09,Brooklyn Bowl,,,Brooklyn Bowl 1,facebook,988,74,0,0.00,0.07,16.80,0.23,,
2025-12-09,Beleaf,,,New Traffic Basic,facebook,1618,36,0,0.00,0.02,27.51,0.76,,
2025-12-09,New Traffic Campaign,,,New Traffic Ad - Copy,facebook,1594,24,0,0.00,0.02,27.10,1.13,,
2025-12-09,Beleaf,,,New Traffic Video,facebook,4,0,0,0.00,0.00,0.07,,,
2025-12-08,Beleaf,,,New Traffic Basic,facebook,1,0,0,0.00,0.00,0.02,,,
2025-12-08,Brooklyn Bowl,,,Brooklyn Bowl 1,facebook,41,1,0,0.00,0.02,0.70,0.70,,
2025-12-08,Beleaf,,,New Traffic Basic,facebook,474,5,0,0.00,0.01,8.06,1.61,,
2025-12-08,New Traffic Campaign,,,New Traffic Ad,facebook,23,0,0,0.00,0.00,0.39,,,
2025-12-08,New Traffic Campaign,,,New Traffic Ad - Copy,facebook,55,1,0,0.00,0.02,0.94,0.94,,
2025-12-08,Beleaf,,,New Traffic Video,facebook,8,0,0,0.00,0.00,0.14,,,
2025-12-08,Brooklyn Bowl,,,Brooklyn Bowl 1,facebook,130,9,0,0.00,0.07,2.21,0.25,,
2025-12-08,Brooklyn Bowl,,,Brooklyn Bowl 1,facebook,1088,78,0,0.00,0.07,18.50,0.24,,
2025-12-08,Beleaf,,,New Traffic Basic,facebook,2292,29,0,0.00,0.01,38.96,1.34,,
2025-12-08,New Traffic Campaign,,,New Traffic Ad,facebook,156,2,0,0.00,0.01,2.65,1.32,,
2025-12-08,New Traffic Campaign,,,New Traffic Ad - Copy,facebook,1394,28,0,0.00,0.02,23.70,0.85,,
2025-12-08,Beleaf,,,New Traffic Video,facebook,34,0,0,0.00,0.00,0.58,,,
