Date,Campaign,Strategy,Placement,Creative,Region,Source,Impressions,Clicks,Conversions,Revenue,CTR (%),Spend,CPC,CPA,ROAS
2025-11-06,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,1,0,2,91.30,0.00,0.02,,0.01,4565.00
2025-11-06,,Retention,Audience | Recent Purchasers (Last Purchased within the last 45 days),Creative 8,surfside,1,0,2,143.50,0.00,0.02,,0.01,7175.00
2025-11-06,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 3,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-06,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,3,1,1,110.25,0.33,0.05,0.05,0.05,2205.00
2025-11-06,,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,0,1,1,172.75,0.00,0.00,,,
2025-11-06,,Retention,Retargeting | Website Visitors,Creative 2,surfside,2,1,3,229.75,0.50,0.03,0.03,0.01,7658.33
2025-11-06,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 4,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-06,,Retention,Retargeting | Website Visitors,Creative 1,surfside,1,0,0,11.00,0.00,0.02,,,550.00
2025-11-06,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,2,0,2,153.00,0.00,0.03,,0.02,5100.00
2025-11-06,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,surfside,4,1,0,0.00,0.25,0.07,0.07,,
2025-11-06,,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,2,1,0,0.00,0.50,0.03,0.03,,
2025-11-06,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,surfside,7,3,0,0.00,0.43,0.12,0.04,,
2025-11-06,,Retention,Retargeting | Cart Abandoners,Creative 8,surfside,2,1,0,0.00,0.50,0.03,0.03,,
2025-11-06,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,surfside,2,1,0,0.00,0.50,0.03,0.03,,
2025-11-06,,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,9,2,0,0.00,0.22,0.15,0.08,,
2025-11-06,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 1,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-06,,Retention,Retargeting | Cart Abandoners,Creative 7,surfside,3,0,0,0.00,0.00,0.05,,,
2025-11-06,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 6,surfside,3,0,2,220.50,0.00,0.05,,0.02,4410.00
2025-11-06,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 5,surfside,8,4,1,30.74,0.50,0.14,0.04,0.14,219.57
2025-11-06,,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,3,1,3,252.50,0.33,0.05,0.05,0.02,5050.00
2025-11-05,,Retention,Retargeting | Cart Abandoners,Creative 3,surfside,4,0,0,0.00,0.00,0.07,,,
2025-11-05,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 4,surfside,1,0,0,0.00,0.00,0.02,,,
