Strategy Name,Placement Name,Creative Name,Creative Size,Event Date,Impressions,Clicks, Media Spend ,Conversions,Conversion Value, ROAS 
Prospecting,Audience | Cannabis Consumers,Creative 8,300x250,11/8/2025,3,0, $ 0.02 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 8,320x50,11/7/2025,2,1, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 8,300x250,11/6/2025,1,0, $ 0.01 ,2,93," $ 16,909.09 "
Prospecting,Audience | Cannabis Consumers,Creative 8,320x50,11/6/2025,2,1, $ 0.01 ,1,159.5," $ 14,500.00 "
Prospecting,Audience | Cannabis Consumers,Creative 8,300x250,11/5/2025,4,0, $ 0.02 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 8,728x90,11/4/2025,929,3, $ 5.11 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 8,320x100,11/4/2025,196,0, $ 1.08 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 8,320x50,11/4/2025,3856,0, $ 21.21 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 8,300x250,11/4/2025,9034,8, $ 49.69 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 8,160x600,11/4/2025,116,0, $ 0.64 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 8,300x250,11/3/2025,7147,4, $ 39.31 ,1,150, $ 3.82 
Prospecting,Audience | Cannabis Consumers,Creative 8,728x90,11/3/2025,693,1, $ 3.81 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 8,320x50,11/3/2025,3964,5, $ 21.80 ,2,210, $ 9.63 
Prospecting,Audience | Cannabis Consumers,Creative 8,320x100,11/3/2025,207,3, $ 1.14 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 8,160x600,11/3/2025,122,0, $ 0.67 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 1,160x600,11/8/2025,2,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 1,160x600,11/7/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,320x50,11/7/2025,1,0, $ 0.01 ,1,50.91," $ 9,256.36 "
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,320x50,11/6/2025,1,0, $ 0.01 ,2,91.3," $ 16,600.00 "
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,320x50,11/5/2025,3,0, $ 0.02 ,1,92.5," $ 5,606.06 "
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,160x600,11/4/2025,63,0, $ 0.35 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,728x90,11/4/2025,294,0, $ 1.62 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,320x100,11/4/2025,127,2, $ 0.70 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,320x50,11/4/2025,1944,6, $ 10.69 ,3,556, $ 52.00 
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,320x50,11/3/2025,2357,3, $ 12.96 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,160x600,11/3/2025,91,0, $ 0.50 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,728x90,11/3/2025,353,0, $ 1.94 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,320x100,11/3/2025,149,0, $ 0.82 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 3,300x250,11/6/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 3,300x250,11/5/2025,4,0, $ 0.02 ,0,65.5," $ 2,977.27 "
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 3,320x50,11/3/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 4,320x50,11/5/2025,2,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,320x100,11/9/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,300x250,11/9/2025,2,0, $ 0.01 ,2,253.9," $ 23,081.82 "
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,320x50,11/8/2025,3,0, $ 0.02 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,300x250,11/8/2025,3,0, $ 0.02 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,320x100,11/7/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,320x50,11/7/2025,1,0, $ 0.01 ,1,35.4," $ 6,436.36 "
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,320x50,11/6/2025,2,1, $ 0.01 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,300x250,11/6/2025,1,0, $ 0.01 ,1,110.25," $ 20,045.45 "
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,320x100,11/5/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,320x50,11/5/2025,1,0, $ 0.01 ,1,56," $ 10,181.82 "
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,728x90,11/4/2025,326,1, $ 1.79 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,320x100,11/4/2025,122,0, $ 0.67 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,300x250,11/4/2025,3910,7, $ 21.50 ,1,140, $ 6.51 
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,320x50,11/4/2025,1860,3, $ 10.23 ,2,56, $ 5.47 
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,160x600,11/4/2025,53,0, $ 0.29 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,320x100,11/3/2025,145,0, $ 0.80 ,0,0, $ -   
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,320x50,11/3/2025,2303,2, $ 12.67 ,2,165, $ 13.03 
Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,300x250,11/3/2025,4834,2, $ 26.59 ,0,16.67, $ 0.63 
