date,campaign_name,strategy_name,placement_name,creative_name,source,impressions,clicks,conversions,conversion_revenue,cpm,spend,ctr,cpc,cpa,roas
11/5/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,3,0,0,0.0,17.0,0.05,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,3373,5,0,0.0,17.0,57.34,0.15,11.47,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,269,0,0,0.0,17.0,4.57,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,8432,8,0,0.0,17.0,143.34,0.09,17.92,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,856,2,0,0.0,17.0,14.55,0.23,7.28,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,126,0,0,0.0,17.0,2.14,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,683,1,0,0.0,17.0,11.61,0.15,11.61,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,199,0,0,0.0,17.0,3.38,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,6490,2,0,0.0,17.0,110.33,0.03,55.17,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,141,0,0,0.0,17.0,2.4,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 7,surfside,3214,2,0,250.0,17.0,54.64,0.06,27.32,0.0,4.58
11/9/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,1,0,1,99.0,17.0,0.02,0.0,0.0,0.02,4950.0
11/8/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,3,0,0,0.0,17.0,0.05,0.0,0.0,0.0,0.0
11/7/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,2,1,0,0.0,17.0,0.03,50.0,0.03,0.0,0.0
11/6/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,1,0,2,93.0,17.0,0.02,0.0,0.0,0.01,4650.0
11/6/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,2,1,1,159.5,17.0,0.03,50.0,0.03,0.03,5316.67
11/5/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,4,0,0,0.0,17.0,0.07,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,929,3,0,0.0,17.0,15.79,0.32,5.26,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,196,0,0,0.0,17.0,3.33,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,3856,0,0,0.0,17.0,65.55,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,9034,8,0,0.0,17.0,153.58,0.09,19.2,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,116,0,0,0.0,17.0,1.97,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,7147,4,1,150.0,17.0,121.5,0.06,30.38,121.5,1.23
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,693,1,0,0.0,17.0,11.78,0.14,11.78,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,3964,5,2,210.0,17.0,67.39,0.13,13.48,33.7,3.12
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,207,3,0,0.0,17.0,3.52,1.45,1.17,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,122,0,0,0.0,17.0,2.07,0.0,0.0,0.0,0.0
11/8/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 1,surfside,2,0,0,0.0,17.0,0.03,0.0,0.0,0.0,0.0
11/7/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 1,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/7/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,1,0,1,50.91,17.0,0.02,0.0,0.0,0.02,2545.5
11/6/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,1,0,2,91.3,17.0,0.02,0.0,0.0,0.01,4565.0
11/5/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,3,0,1,92.5,17.0,0.05,0.0,0.0,0.05,1850.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,63,0,0,0.0,17.0,1.07,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,294,0,0,0.0,17.0,5.0,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,127,2,0,0.0,17.0,2.16,1.57,1.08,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,1944,6,3,556.0,17.0,33.05,0.31,5.51,11.02,16.82
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,2357,3,0,0.0,17.0,40.07,0.13,13.36,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,91,0,0,0.0,17.0,1.55,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,353,0,0,0.0,17.0,6.0,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,149,0,0,0.0,17.0,2.53,0.0,0.0,0.0,0.0
11/6/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 3,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/5/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 3,surfside,4,0,0,65.5,17.0,0.07,0.0,0.0,0.0,935.71
11/3/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 3,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/5/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 4,surfside,2,0,0,0.0,17.0,0.03,0.0,0.0,0.0,0.0
11/9/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/9/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,2,0,2,253.9,17.0,0.03,0.0,0.0,0.02,8463.33
11/8/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,3,0,0,0.0,17.0,0.05,0.0,0.0,0.0,0.0
11/8/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,3,0,0,0.0,17.0,0.05,0.0,0.0,0.0,0.0
11/7/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/7/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,1,0,1,35.4,17.0,0.02,0.0,0.0,0.02,1770.0
11/6/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,2,1,0,0.0,17.0,0.03,50.0,0.03,0.0,0.0
11/6/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,1,0,1,110.25,17.0,0.02,0.0,0.0,0.02,5512.5
11/5/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/5/2025,Prospecting,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,1,0,1,56.0,17.0,0.02,0.0,0.0,0.02,2800.0
